Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Job Title_count,Job Experience Required_count,Key Skills_count,Role Category_count,Location_count,Functional Area_count,Industry_count,Role_count
438,36,436,,11,10,25,135.0,72.5797068,23.0216238,3655,1,10,1,,20,8,19,1.0
439,39,437,32.0,0,28,1,122.0,72.8773928,19.0759899,6276,1,14,1,3.0,58,4,187,2.0
440,14,438,6.0,2,5,5,27.0,77.00270015,28.42826235,6458,1,7,1,43.0,38,57,26,33.0
441,31,439,4.0,4,3,2,11.0,73.8544541,18.521428,1637,1,18,1,130.0,45,119,42,96.0
442,33,440,12.0,100,9,25,26.0,,,3331,1,18,1,18.0,1,23,19,14.0
443,1,329,51.0,16,13,14,110.0,77.2219388,28.6517178,5805,1,32,3,2.0,12,12,17,2.0
444,7,441,10.0,0,8,26,13.0,72.8773928,19.0759899,2750,1,38,1,26.0,58,19,8,20.0
445,29,442,3.0,13,3,1,21.0,77.1212148,28.6882438,5404,1,22,1,15.0,15,119,187,3.0
446,31,443,29.0,0,1,1,136.0,72.8773928,19.0759899,4775,1,18,1,3.0,58,74,187,1.0
447,11,444,21.0,4,19,24,45.0,73.8544541,18.521428,2509,1,15,1,15.0,45,21,4,2.0
448,4,445,49.0,5,0,25,118.0,77.590082,12.9767936,2282,1,10,1,4.0,71,13,19,2.0
449,0,446,24.0,0,21,2,137.0,72.8773928,19.0759899,5829,1,26,1,6.0,58,6,42,1.0
450,0,447,4.0,5,3,1,78.0,77.590082,12.9767936,5901,1,26,1,130.0,71,119,187,10.0
451,7,448,12.0,44,9,38,26.0,77.10436033,28.42208445,3807,1,38,1,18.0,3,23,4,14.0
452,26,449,4.0,3,11,1,11.0,78.4740613,17.360589,2302,1,9,1,130.0,37,9,187,96.0
453,36,450,4.0,5,30,1,78.0,77.590082,12.9767936,5467,1,10,1,130.0,71,4,187,10.0
454,37,451,4.0,5,3,38,11.0,77.590082,12.9767936,6808,1,9,1,130.0,71,119,4,96.0
455,33,452,10.0,0,8,4,13.0,72.8773928,19.0759899,5312,1,18,1,26.0,58,19,3,20.0
456,39,453,4.0,0,3,1,11.0,72.8773928,19.0759899,3187,1,14,1,130.0,58,119,187,96.0
457,68,454,15.0,4,22,1,22.0,73.8544541,18.521428,6556,1,2,1,5.0,45,4,187,5.0
